Date,Revenue,Gross Profit,Operating Income,Pretax Income,Net Income,Shares Outstanding (Diluted),EPS (Diluted),Free Cash Flow,EBITDA,EBIT,Adj Close
2014-01-06,56412.32967032967,21460.384615384617,17080.252747252747,17324.175824175825,12790.23076923077,25180.274725274725,0.5091208791208791,19778.021978021978,19526.85714285714,17408.274725274725,17.053110122680664
2014-01-07,56281.03296703297,21417.53846153846,17037.725274725275,17281.417582417584,12758.923076923076,25173.527472527472,0.507912087912088,19683.802197802197,19481.285714285714,17365.527472527472,16.93115234375
2014-01-08,56149.73626373626,21374.69230769231,16995.197802197803,17238.659340659342,12727.615384615385,25166.78021978022,0.5067032967032967,19589.582417582416,19435.714285714286,17322.78021978022,17.038375854492188
2014-01-09,56018.43956043956,21331.846153846152,16952.67032967033,17195.9010989011,12696.307692307691,25160.032967032967,0.5054945054945055,19495.362637362636,19390.14285714286,17280.032967032967,16.820791244506836
2014-01-10,55887.142857142855,21289.0,16910.14285714286,17153.14285714286,12665.0,25153.285714285714,0.5042857142857143,19401.14285714286,19344.571428571428,17237.285714285714,16.708553314208984
2014-01-13,55493.25274725274,21160.46153846154,16782.56043956044,17024.86813186813,12571.076923076924,25133.043956043955,0.5006593406593407,19118.483516483517,19207.85714285714,17109.043956043955,16.7960262298584
2014-01-14,55361.956043956045,21117.615384615383,16740.032967032967,16982.10989010989,12539.76923076923,25126.296703296703,0.49945054945054945,19024.263736263736,19162.285714285714,17066.296703296703,17.13023567199707
2014-01-15,55230.65934065934,21074.76923076923,16697.505494505494,16939.351648351647,12508.461538461539,25119.54945054945,0.49824175824175826,18930.043956043955,19116.714285714286,17023.54945054945,17.474163055419922
2014-01-16,55099.36263736264,21031.923076923078,16654.978021978022,16896.593406593405,12477.153846153846,25112.802197802197,0.49703296703296707,18835.824175824175,19071.14285714286,16980.802197802197,17.376659393310547
2014-01-17,54968.06593406593,20989.076923076922,16612.45054945055,16853.835164835164,12445.846153846154,25106.054945054944,0.4958241758241758,18741.604395604394,19025.571428571428,16938.054945054944,16.950902938842773
2014-01-21,54442.87912087912,20817.69230769231,16442.340659340658,16682.802197802197,12320.615384615385,25079.065934065933,0.490989010989011,18364.725274725275,18843.285714285714,16767.065934065933,17.214258193969727
2014-01-22,54311.58241758242,20774.846153846152,16399.813186813186,16640.043956043955,12289.307692307691,25072.31868131868,0.4897802197802198,18270.505494505494,18797.714285714286,16724.31868131868,17.29075813293457
2014-01-23,54180.28571428572,20732.0,16357.285714285714,16597.285714285714,12258.0,25065.571428571428,0.4885714285714286,18176.285714285714,18752.14285714286,16681.571428571428,17.43716812133789
2014-01-24,54048.98901098901,20689.153846153848,16314.758241758242,16554.527472527472,12226.692307692309,25058.824175824175,0.48736263736263735,18082.065934065933,18706.571428571428,16638.824175824175,17.12020492553711
2014-01-27,53655.0989010989,20560.615384615383,16187.175824175825,16426.252747252747,12132.76923076923,25038.582417582416,0.48373626373626377,17799.406593406595,18569.85714285714,16510.582417582416,17.259092330932617
2014-01-28,53523.8021978022,20517.76923076923,16144.648351648351,16383.494505494506,12101.461538461539,25031.835164835164,0.4825274725274725,17705.186813186814,18524.285714285714,16467.835164835164,15.879621505737305
2014-01-29,53392.505494505494,20474.923076923078,16102.12087912088,16340.736263736264,12070.153846153846,25025.08791208791,0.48131868131868133,17610.967032967033,18478.714285714286,16425.08791208791,15.69934368133545
2014-01-30,53261.20879120879,20432.076923076922,16059.593406593407,16297.978021978022,12038.846153846154,25018.340659340658,0.48010989010989014,17516.747252747253,18433.14285714286,16382.34065934066,15.668937683105469
2014-01-31,53129.91208791209,20389.23076923077,16017.065934065933,16255.21978021978,12007.538461538461,25011.593406593405,0.4789010989010989,17422.527472527472,18387.571428571428,16339.593406593407,15.6946439743042
2014-02-03,52736.02197802198,20260.69230769231,15889.483516483517,16126.945054945056,11913.615384615385,24991.351648351647,0.47527472527472525,17139.868131868134,18250.85714285714,16211.351648351649,15.723793983459473
2014-02-04,52604.72527472528,20217.846153846152,15846.956043956045,16084.186813186814,11882.307692307691,24984.604395604394,0.47406593406593406,17045.648351648353,18205.285714285714,16168.604395604396,15.951407432556152
2014-02-05,52473.42857142857,20175.0,15804.428571428572,16041.42857142857,11851.0,24977.85714285714,0.47285714285714286,16951.428571428572,18159.714285714286,16125.857142857143,16.0705509185791
2014-02-06,52342.131868131866,20132.153846153848,15761.901098901099,15998.670329670329,11819.692307692309,24971.10989010989,0.47164835164835167,16857.20879120879,18114.14285714286,16083.10989010989,16.164222717285156
2014-02-07,52210.83516483517,20089.30769230769,15719.373626373626,15955.912087912087,11788.384615384615,24964.362637362636,0.4704395604395604,16762.98901098901,18068.571428571428,16040.362637362638,16.390363693237305
2014-02-10,51816.945054945056,19960.76923076923,15591.791208791208,15827.637362637362,11694.461538461539,24944.120879120877,0.46681318681318684,16480.32967032967,17931.85714285714,15912.12087912088,16.683990478515625
2014-02-11,51685.64835164835,19917.923076923078,15549.263736263736,15784.87912087912,11663.153846153846,24937.37362637363,0.4656043956043956,16386.10989010989,17886.285714285714,15869.373626373626,16.903818130493164
2014-02-12,51554.35164835165,19875.076923076922,15506.736263736264,15742.12087912088,11631.846153846154,24930.62637362637,0.4643956043956044,16291.89010989011,17840.714285714286,15826.626373626374,16.902557373046875
2014-02-13,51423.054945054944,19832.23076923077,15464.208791208792,15699.362637362638,11600.538461538461,24923.879120879123,0.4631868131868132,16197.67032967033,17795.14285714286,15783.87912087912,17.170955657958984
2014-02-14,51291.758241758245,19789.384615384617,15421.68131868132,15656.604395604396,11569.23076923077,24917.13186813187,0.46197802197802196,16103.45054945055,17749.571428571428,15741.131868131868,17.15707778930664
2014-02-18,50766.57142857143,19618.0,15251.571428571428,15485.571428571428,11444.0,24890.14285714286,0.45714285714285713,15726.571428571428,17567.285714285714,15570.142857142857,17.22015953063965
2014-02-19,50635.27472527472,19575.153846153848,15209.043956043955,15442.813186813186,11412.692307692309,24883.395604395606,0.45593406593406594,15632.351648351649,17521.714285714286,15527.395604395604,16.948286056518555
2014-02-20,50503.97802197802,19532.30769230769,15166.516483516483,15400.054945054944,11381.384615384615,24876.648351648353,0.4547252747252747,15538.131868131868,17476.14285714286,15484.648351648351,16.752113342285156
2014-02-21,50372.681318681316,19489.46153846154,15123.989010989011,15357.296703296703,11350.076923076924,24869.9010989011,0.4535164835164835,15443.91208791209,17430.571428571428,15441.901098901099,16.56603240966797
