Date,Cash & Cash Equivalents,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Debt,Adj Close
2019-05-06,219393.01098901097,128073.46153846153,205890.65934065933,333964.1208791209,92117.97802197802,139809.74725274724,231927.72527472526,110917.42857142857,50.30607223510742
2019-05-07,219230.36263736265,128201.23076923077,205545.75824175825,333746.989010989,92073.27472527472,139740.65934065933,231813.93406593407,110871.14285714286,48.94996643066406
2019-05-08,219067.7142857143,128329.0,205200.85714285713,333529.85714285716,92028.57142857143,139671.57142857142,231700.14285714287,110824.85714285714,48.95962142944336
2019-05-09,218905.06593406593,128456.76923076923,204855.95604395604,333312.7252747253,91983.86813186813,139602.4835164835,231586.35164835164,110778.57142857143,48.43359756469727
2019-05-10,218742.41758241758,128584.53846153847,204511.05494505493,333095.5934065934,91939.16483516483,139533.3956043956,231472.56043956045,110732.28571428571,47.76261901855469
2019-05-13,218254.47252747254,128967.84615384616,203476.35164835164,332444.1978021978,91805.05494505494,139326.13186813187,231131.18681318683,110593.42857142857,44.98668670654297
2019-05-14,218091.82417582418,129095.61538461539,203131.45054945056,332227.06593406596,91760.35164835164,139257.04395604396,231017.3956043956,110547.14285714286,45.69884490966797
2019-05-15,217929.17582417582,129223.38461538461,202786.54945054944,332009.93406593404,91715.64835164836,139187.95604395604,230903.6043956044,110500.85714285714,46.24627685546875
2019-05-16,217766.52747252746,129351.15384615384,202441.64835164836,331792.8021978022,91670.94505494506,139118.86813186813,230789.81318681317,110454.57142857143,46.04280471801758
2019-05-17,217603.8791208791,129478.92307692308,202096.74725274724,331575.6703296703,91626.24175824175,139049.78021978022,230676.02197802198,110408.28571428571,45.78119659423828
2019-05-20,217115.93406593407,129862.23076923077,201062.04395604396,330924.2747252747,91492.13186813187,138842.5164835165,230334.64835164836,110269.42857142857,44.3496208190918
2019-05-21,216953.2857142857,129990.0,200717.14285714284,330707.14285714284,91447.42857142857,138773.42857142858,230220.85714285713,110223.14285714286,45.19984436035156
2019-05-22,216790.63736263735,130117.76923076923,200372.24175824175,330490.010989011,91402.72527472528,138704.34065934067,230107.06593406593,110176.85714285714,44.274532318115234
2019-05-23,216627.98901098903,130245.53846153847,200027.34065934067,330272.8791208791,91358.02197802198,138635.25274725276,229993.27472527474,110130.57142857143,43.51878356933594
2019-05-24,216465.34065934067,130373.30769230769,199682.43956043955,330055.74725274724,91313.31868131868,138566.16483516485,229879.4835164835,110084.28571428571,43.35164260864258
2019-05-28,215814.74725274724,130884.38461538461,198302.83516483515,329187.2197802198,91134.50549450549,138289.81318681317,229424.3186813187,109899.14285714286,43.172393798828125
2019-05-29,215652.0989010989,131012.15384615384,197957.93406593407,328970.0879120879,91089.8021978022,138220.72527472526,229310.52747252746,109852.85714285714,42.966495513916016
2019-05-30,215489.45054945056,131139.92307692306,197613.03296703298,328752.95604395604,91045.0989010989,138151.63736263735,229196.73626373627,109806.57142857143,43.18935012817383
2019-05-31,215326.8021978022,131267.6923076923,197268.13186813187,328535.8241758242,91000.3956043956,138082.54945054944,229082.94505494504,109760.28571428571,42.40694808959961
2019-06-03,214838.85714285713,131651.0,196233.42857142858,327884.4285714286,90866.28571428571,137875.2857142857,228741.57142857142,109621.42857142857,41.97821044921875
2019-06-04,214676.2087912088,131778.76923076922,195888.52747252746,327667.2967032967,90821.58241758242,137806.1978021978,228627.78021978022,109575.14285714286,43.51393127441406
2019-06-05,214513.56043956045,131906.53846153847,195543.62637362638,327450.16483516485,90776.87912087912,137737.1098901099,228513.98901098903,109528.85714285714,44.21639633178711
2019-06-06,214350.9120879121,132034.3076923077,195198.72527472526,327233.032967033,90732.17582417582,137668.02197802198,228400.1978021978,109482.57142857143,44.865570068359375
2019-06-07,214188.26373626373,132162.07692307694,194853.82417582418,327015.9010989011,90687.47252747254,137598.93406593407,228286.4065934066,109436.28571428571,46.05976104736328
